country;variable;description;code;2014
BRA;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
BRA;K;Activities of extraterritorial organizations and bodies;U;0
CAN;K;Crop and animal production, hunting and related service activities;A01;43 014
CAN;K;Forestry and logging;A02;2 362
CAN;K;Fishing and aquaculture;A03;1 286
CAN;K;Mining and quarrying;B;690 861
CAN;K;Manufacture of food products, beverages and tobacco products;C10-C12;14 400
CAN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;1 543
CAN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;6 484
CAN;K;Manufacture of paper and paper products;C17;9 855
CAN;K;Printing and reproduction of recorded media;C18;2 075
CAN;K;Manufacture of coke and refined petroleum products ;C19;16 528
CAN;K;Manufacture of chemicals and chemical products ;C20;11 142
CAN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;6 935
CAN;K;Manufacture of rubber and plastic products;C22;4 975
CAN;K;Manufacture of other non-metallic mineral products;C23;4 807
CAN;K;Manufacture of basic metals;C24;20 480
CAN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;5 046
CAN;K;Manufacture of computer, electronic and optical products;C26;5 033
CAN;K;Manufacture of electrical equipment;C27;2 142
CAN;K;Manufacture of machinery and equipment n.e.c.;C28;5 950
CAN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;13 262
CAN;K;Manufacture of other transport equipment;C30;8 475
CAN;K;"Manufacture of furniture; other manufacturing";C31_C32;3 272
CAN;K;Repair and installation of machinery and equipment;C33;0
CAN;K;Electricity, gas, steam and air conditioning supply;D35;237 369
CAN;K;Water collection, treatment and supply;E36;0
CAN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;32 201
CAN;K;Construction;F;34 419
CAN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;12 673
CAN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;39 910
CAN;K;Retail trade, except of motor vehicles and motorcycles;G47;29 646
