PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
I,0.1,0.3,0,0.1,1.5,0.2,0.1,0.3,0,0,0.9,0,0.2,0.4,0.2,2.2,0.8,0.6,1.1,1.5,0.1,0.2,1,0.1,0,0.2,5.5,0.5,4.4,2.5,6.5,0.3,0.1,1.8,0.1,1,0.4,0.4,0.2,3.8,0.4,0.4,0.5,0.4,6.1,0.4,7.4,3,0.6,1.6,1.4,68.4,0.9,80.1,18.7,1.6,9.3,3,10.2,10.5,0.1,0,0,0,264.2,1422.6,0,9.8,1432.3,0,0,0,0,0,627.4,,,0,627.4,2059.8,2323.9
J58,0.4,0,0,0.1,0.4,0.4,0,0.3,0.1,0.4,0.2,0,0,0.4,2.4,0.3,8.6,0.6,0.5,2.8,0,0.2,0.8,2.3,0.1,0.1,0.3,2.1,17.1,12,9,0,0,0.7,0.3,0.1,18.9,1.3,0.2,25.2,1.4,1.9,0.7,3.2,7.1,0.1,2.1,5.1,0.1,3,0,1.2,0.4,12.9,8.2,5,0.6,1.6,2.4,4.8,0,0,0,0,170.1,389.6,0,2,391.6,0.5,0,0.5,0.5,1,189,,,14.9,203.8,596.5,766.6
J59_60,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,5.1,0,0.2,0,0,0,0,0,0,0,0,0,0.6,0.8,0,0,0,0,0,0.1,2.4,25.1,0.9,0.5,0,0,0,0.1,0.1,0,0,3,0,0,0,0,0,1.5,0,0,0.8,2.6,0,0.8,0,0.1,0,0,48.5,281.8,0,115,396.8,6.2,0,0.2,0.2,6.4,24.3,,,3,27.3,430.5,479
J61,6.4,0.7,0.1,1,7.3,3.6,3.5,1.3,0.9,0.2,4.1,0.6,3.7,2.1,8.8,4.2,10.1,4.5,4.8,10.3,0.9,1.7,6,6.2,1.8,2.7,10.2,12,61.8,35.5,13.5,0.1,0.1,9.7,5.9,8.3,2.4,45.8,503.6,30.2,17,6.2,1.7,8.8,28.1,1.4,3.5,13.2,6.1,14.4,1.7,3.2,25.5,90.1,14.7,15.6,3.2,15.1,3.1,5,1.6,3.2,0,0,1118.7,1142.2,0,0,1142.2,0,0,0,0,0,66.4,,,19.3,85.7,1227.9,2346.6
J62_63,0.7,0.1,0.1,0.5,10,1.1,0.3,2.6,0.4,2.6,1.3,0.1,4.6,1.5,11.9,1.9,3.4,5.4,4.7,77.5,0.6,1.4,4,37.5,3.2,3,19.3,7.5,68.2,68.1,13.8,0.1,0.1,3.2,5.2,0.6,22.7,16.2,25.7,311.9,33.4,10.2,2.7,13.8,15.2,0.8,0.7,15.9,0.7,2.2,1,5.2,4.7,69.1,4.5,4.9,1.1,1,1,2.5,0.2,0,0,0,933.7,0,0,43.6,43.6,1095.7,0,0,0,1095.7,200.6,,,61.8,262.4,1401.7,2335.4
K64,11.9,0.7,0.2,2.9,22,4.4,3.9,4.4,1.1,0.7,16.3,0.1,13.1,7.4,9.2,12.6,4.6,7.5,7,15.3,4.9,2.7,3.5,14.1,2.3,4.4,37.1,15.5,101.1,93.5,24.5,0,2.2,12.7,4.2,44.2,1.2,1.7,7,28.8,643.6,30.5,66.6,214.7,12.3,1.7,1.7,27.5,6,3.4,0.1,8.3,16.3,52.6,5.7,16.2,3.1,1.1,1.6,6.9,0.1,2.8,0,0,1673.4,1017.7,0,0,1017.7,0,0,0,0,0,195.2,,,7.9,203,1220.7,2894.1
K65,2.5,0.2,0,0.1,2.1,0.3,0.5,0.4,0.1,0.3,0.2,0.1,1.1,0.8,1.2,1.1,0.9,1,0.9,2.5,0.3,0.3,0.8,3.3,1.4,0.9,4.6,0.4,5.8,2.9,4.2,0,0,1.1,0.1,0.6,0.3,0.3,0.9,8,0,204.6,75.3,8.1,0.3,0.2,0.5,0.6,0,3.3,0.1,6.6,0.3,4.3,1.4,0.8,0.5,0.4,0.5,1.9,0,0,0,0,362.2,690.4,0.1,0,690.5,0,0,0,0,0,22.3,,,6.1,28.4,718.9,1081.1
K66,0.4,0,0,0,0.3,0,0,0.1,0.3,0,0,0,0.8,0.6,0.9,0.9,0.1,0.4,0.1,0.5,0,0,0,0.4,0,0.1,0.4,0,2.6,1.4,0.2,0,0,0,0,0,0.1,0,0.6,0.3,32.9,313.7,132.2,1.1,0.3,0,0.1,0.5,0.2,0.4,0.1,1,3.5,2.5,0.1,0.5,0.1,0.1,0.1,0.1,0,0,0,0,500.8,178.2,0,1.3,179.5,0,0,0,0,0,2.9,,,0.9,3.8,183.3,684.1
L,58.5,20.6,0.4,4.2,30.8,26.6,3.9,3.5,2.4,1.4,14,2.9,25.8,2.4,8.7,39,23.8,14.7,32.3,83.4,3.7,16.7,16,24.7,28.3,17.2,120.5,48.1,239.9,329.4,507.2,0.2,0,19.7,3.9,82.7,13.1,14.4,73.1,97.9,29.7,15.9,7.1,383.1,78.6,18.9,3.2,57.3,14.2,11.2,5.9,7.1,37.9,47.9,29.5,73,11.4,19.6,13.4,13.4,1.5,18.2,0,0,2953.9,4298.9,87,12.2,4398.1,0,0,0,0,0,0,0,0,0,0,4398.2,7352
M69_70,17.9,1.6,0.3,4.6,50.9,15.1,10.6,24.6,2.3,2,21.1,43.4,42.3,24.6,35.5,30.1,46.6,33.4,25.1,212.9,4.7,8.7,15.5,104.9,2.8,11.7,60.4,50.3,201.8,206.8,22.6,0.1,1.5,19.3,0.8,21.3,9.1,6.1,32.2,104,23.8,8.8,11.7,90.5,319.6,4.1,5.8,35.4,31.9,14.2,5.7,12.5,17.5,109,13.4,30.4,7.7,2.8,3.1,11.1,3.5,4.9,0,0,2296.4,89.7,0,9.7,99.4,0,0,0,0,0,165.1,,,50.5,215.6,315,2611.4
