PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
B1G,2093,1043,14,774,4618,990,1630,1554,957,189,1156,1222,1744,1973,2893,3715,1755,3297,4786,2389,926,2105,2924,4751,434,2615,16909,3540,17812,12687,6714,18,573,5070,1254,12743,1163,757,2646,5292,7893,2167,933,26365,7730,4031,5942,1412,1082,5020,3680,427,4033,13673,13232,13152,4043,2201,1053,1753,553,2039,177,0,262315,,,,,,,,,,,,,,,,
P1,5376,2180,42,1760,16437,2855,6812,5695,2589,3885,12058,2743,4905,5324,12656,10198,4072,7392,14598,10489,3306,6100,7079,22144,721,6019,44021,7070,30642,19445,13952,91,3075,8113,2363,20695,3206,2096,6369,10422,13951,5644,2826,39332,15641,7707,8234,5268,2086,7338,4194,2151,6390,20731,15719,19687,5995,3193,1688,3141,989,2905,177,0,543977,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,51,19,1,22,34,12,32,20,8,35,25,9,20,49,89,38,9,10,29,17,6,49,19,96,5,80,199,34,157,166,355,0,13,44,33,333,5,7,19,33,537,262,71,544,79,24,112,56,17,38,4,16,38,891,406,884,184,67,28,207,19,30,0,0,6698,21698,0,544,22242,2841,125,4,130,2970,383,358,25,23,406,25618,32316
P7_B0,1772,578,36,1526,5491,3425,1200,2040,52,5282,10801,2642,3463,1472,5338,3574,4576,4171,9367,9570,1071,3187,486,816,0,1418,412,21,321,0,3112,503,579,1196,129,1153,1446,568,458,1134,905,356,78,58,927,336,473,618,44,678,76,24,195,20,39,82,382,187,6,0,0,27,0,0,99898,,,,,,,,,,,,,,,,
P7_U2,1389,318,29,1089,4759,2946,891,1625,44,4262,8596,2336,2911,1285,4454,3012,3703,3283,8223,8046,836,2539,325,746,0,1032,316,18,254,0,1894,439,509,763,115,946,1038,531,299,928,744,266,62,43,714,272,349,470,35,564,59,20,151,13,30,77,115,154,5,0,0,14,0,0,80889,,,,,,,,,,,,,,,,
P7_U3,383,259,7,437,732,479,309,415,8,1021,2205,306,551,187,885,562,874,887,1144,1523,235,647,161,69,0,386,96,3,67,0,1218,63,69,433,14,207,409,37,159,206,161,90,16,15,213,64,125,148,9,113,17,4,44,7,8,5,267,33,1,0,0,14,0,0,19009,,,,,,,,,,,,,,,,
P7_D0,553,47,14,6094,1138,2854,187,268,9,137,1364,1374,635,301,2724,865,3564,1454,1990,1265,677,1381,129,43,0,163,79,5,144,0,549,608,343,426,71,472,94,64,162,283,104,131,15,17,303,103,128,259,9,165,16,23,43,34,8,7,0,100,2,0,4,0,0,0,34000,,,,,,,,,,,,,,,,
P7,2325,625,50,7620,6629,6279,1387,2308,61,5419,12165,4016,4098,1773,8062,4439,8140,5624,11357,10834,1748,4568,615,858,0,1581,491,26,465,0,3661,1111,921,1622,200,1625,1540,632,621,1417,1009,487,93,75,1231,439,602,877,52,842,92,47,238,54,46,89,382,286,9,0,5,27,0,0,133898,,,,,,,,,,,,,,,,
TS_BP,7702,2805,92,9380,23066,9134,8199,8002,2650,9304,24223,6759,9002,7097,20718,14637,12213,13016,25955,21323,5054,10668,7694,23002,721,7600,44513,7095,31107,19445,17613,1201,3996,9734,2562,22320,4746,2728,6990,11839,14961,6131,2919,39407,16872,8145,8836,6145,2139,8180,4286,2198,6628,20784,15765,19776,6377,3480,1696,3141,993,2933,177,0,677875,,,,,,,,,,,,,,,,
