PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
TOTAL,4303,38,349,612,11472,1453,529,789,483,11028,1203,787,1201,1984,3634,2660,93,887,655,177,130,893,692,3114,465,887,11677,1751,12285,5503,3334,8376,965,2005,405,9299,1357,808,3324,942,2571,1052,781,3468,1999,1028,653,1818,887,581,21,1458,973,6733,874,3652,630,1134,333,2834,104,285,0,0,146421,144617,4765,50188,199571,36594,279,-1282,-1003,35591,19651,12257,7394,20696,40347,275509,421930
P2_ADJ,4657,41,388,654,11868,1536,542,836,509,11557,1340,828,1285,2072,3713,2737,98,908,676,186,135,925,721,3436,489,940,12270,1837,12907,5766,3679,8890,1071,2204,452,10029,1419,866,3469,997,2754,1101,829,3631,2112,1085,693,1911,930,621,22,1553,1041,7202,945,3949,680,1187,350,3050,111,302,0,0,154990,159493,4765,50188,214447,39698,279,-1443,-1164,38534,19651,12257,7394,20696,40347,293328,448317
D1,737,30,95,468,2350,635,227,230,261,349,318,293,351,618,565,864,58,228,340,98,91,358,326,777,375,783,3465,1190,6630,4600,1745,918,259,1221,472,2919,691,456,1422,625,4215,372,352,1094,2123,335,857,339,247,128,96,264,1424,14207,8424,4286,519,378,183,2061,31,485,1272,0,82130,,,,,,,,,,,,,,,,
D11,641,24,75,367,1888,518,194,185,211,276,254,251,279,489,451,701,46,183,271,78,65,292,249,632,319,756,2642,918,5112,3665,1221,852,217,734,337,2413,428,373,992,493,2983,269,315,844,1743,270,632,262,195,102,73,208,1115,10323,6294,4063,491,298,149,1642,24,423,1026,0,63836,,,,,,,,,,,,,,,,
D29X39,-2334,-21,0,0,-300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,1346,0,3,25,0,0,0,12,0,3,225,0,0,11,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,-1016,,,,,,,,,,,,,,,,
P51C,1337,28,182,140,682,153,46,57,57,174,100,102,120,135,198,186,21,59,57,16,22,62,69,613,159,115,902,228,1077,725,1461,2591,91,192,57,866,169,389,1048,283,421,49,27,12061,250,113,445,68,44,847,9,62,206,5581,1251,486,54,290,107,273,30,273,0,0,37913,,,,,,,,,,,,,,,,
B2A3N,5197,41,505,178,2425,206,-19,13,76,775,154,161,76,145,132,476,36,192,151,47,15,191,531,1446,26,778,4792,1840,4578,3807,-351,2877,352,749,99,5895,140,-177,2312,211,2815,657,286,22285,2386,616,-81,22,274,-378,7,179,391,0,1468,6217,-22,1613,-8,-196,537,459,11,0,80617,,,,,,,,,,,,,,,,
B2A3G,6534,69,688,318,3106,358,27,70,132,948,254,264,196,280,330,662,57,250,209,63,37,253,600,2059,185,894,5694,2068,5655,4533,1110,5468,443,941,156,6761,309,211,3360,494,3236,706,313,34346,2636,729,364,90,318,469,15,241,597,5581,2719,6703,32,1903,98,76,567,733,11,0,118529,,,,,,,,,,,,,,,,
B3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
